plant_code,plant_name,latitude,longitude,city,state
55062,Tenaska Frontier Generation Station,30.5924,-95.9178,Shiro,TX
55063,Batesville Generation Facility,34.3356,-89.9275,Batesville,MS
55064,Black Hawk Station,35.6957,-101.36,Borger,TX
55065,Mustang Station,32.9728,-102.7417,Denver City,TX
55066,Heat Recovery Coke Facility,41.6789,-87.42,East Chicago,IN
55067,MPEA Energy Center,41.852709,-87.61851,Chicago,IL
55068,Maine Independence Station,44.8242,-68.7094,Veazie,ME
55074,Lakeview Gas Recovery,42.060172,-80.020765,Erie,PA
55075,Pine Bluff Energy Center,34.2181,-91.9025,Pine Bluff,AR
55076,Red Hills Generating Facility,33.3761,-89.2183,Ackerman,MS
55077,Desert Star Energy Center,35.788889,-114.994167,Boulder City,NV
55079,Millennium Power,42.112291,-72.015113,Charlton,MA
55080,New Albany Energy Facility,34.540833,-88.939722,New Albany,MS
55081,Brownsville Peaking Power,35.5438,-89.198,Brownsville,TN
55084,Crockett Cogen Project,38.0569,-122.2161,Crockett,CA
55086,Gregory Power Facility,27.88929,-97.258417,Gregory,TX
55087,Zeeland Generating Station,42.8206,-85.9975,Zeeland,MI
55088,Dearborn Industrial Generation,42.3026,-83.154,Dearborn,MI
55089,Taft Cogeneration Facility,29.9888,-90.4599,Hahnville,LA
55090,Plummer Cogen,47.331006,-116.890352,Plummer,ID
55091,Midlothian Energy Facility,32.4302,-97.0537,Midlothian,TX
55093,MM Taunton Energy,41.923068,-71.086412,Taunton,MA
55094,MM San Diego-Miramar,32.844845,-117.162747,San Diego,CA
55096,Portside Energy,41.6317,-87.1728,Portage,IN
55097,Lamar Power Project,33.6308,-95.59,Paris,TX
55098,Frontera Energy Center,26.208,-98.3992,Mission,TX
55099,NRG Sterlington Power,32.6889,-92.0811,Sterlington,LA
55100,"Rumford Power, Inc",44.5303,-70.5219,Rumford,ME
55101,Kalamazoo River Generating Station,42.281345,-85.494956,Comstock,MI
55102,Livingston Generating Station,45.030397,-84.730795,Gaylord,MI
55103,Klamath Cogeneration Plant,42.173889,-121.810556,Klamath Falls,OR
55104,Sabine Cogen,30.0444,-93.771389,Orange,TX
55107,Rhode Island State Energy Center,41.8017,-71.5186,Johnston,RI
55109,Rocky Road Power LLC,42.0931,-88.2397,East Dundee,IL
55110,Madison,39.4522,-84.4647,Trenton,OH
55111,Vermillion Energy Facility,39.922328,-87.446358,Cayuga,IN
55112,Sutter Energy Center,39.053139,-121.695873,Yuba City,CA
55116,Rockingham County CT Station,36.3297,-79.8297,Reidsville,NC
55117,RS Cogen,30.221,-93.2992,Lake Charles,LA
55122,NAFTA Region Olefins Complex Cogen Fac,29.954321,-93.883592,Port Arthur,TX
55123,Magic Valley Generating Station,26.3403,-98.19,Edinburg,TX
55124,Griffith Energy LLC,35.054029,-114.133272,Kingman,AZ
55125,Vansycle,45.936157,-118.65999,Touchet,OR
55126,Milford Power Project,41.224355,-73.099728,Milford,CT
55127,Manchief Electric Generating Station,40.217143,-103.68504,Brush,CO
55128,Walton County Power LLC,33.8148,-83.6954,Monroe,GA
55129,Desert Basin,32.9042,-111.7889,Casa Grande,AZ
55131,Kendall County Generation Facility,41.4797,-88.2581,Minooka,IL
55132,Tenaska Gateway Generating Station,32.017826,-94.619743,Mt. Enterprise,TX
55133,Thomson Reuters Campus Bldg A-D,44.8196,-93.1156,Eagan,MN
55135,Alliant Energy Neenah,44.1936,-88.5064,Neenah,WI
55137,Rio Nogales Power Project,29.593056,-97.973215,Seguin,TX
55138,Lee County,32.54098,-85.038879,Smiths,AL
55139,Wolf Hollow I LP,32.33422,-97.731686,Granbury,TX
55141,Hawk Road Facility,33.358472,-84.991391,Franklin,GA
55144,Hays Energy Project,29.7806,-97.9894,San Marcos,TX
55146,Green Country Energy LLC,35.9833,-95.9346,Jenks,OK
55148,Worthington Generation LLC,39.0708,-87.0128,Worthington,IN
55149,Lake Road Generating Plant,41.872043,-71.895799,Dayville,CT
55151,La Paloma Generating LLC,35.2956,-119.5919,McKittrick,CA
55152,Bank of America Plaza,33.7708,-84.3861,Atlanta,GA
55153,Guadalupe Generating Station,29.6244,-98.1419,Marion,TX
55154,Lost Pines 1 Power Project,30.1478,-97.2714,Bastrop,TX
55155,MM Albany Energy,42.704391,-73.850866,Albany,NY
55156,MM Prince William Energy,38.638333,-77.414722,Manassas,VA
55161,MM Lopez Energy,34.2925,-118.389444,Lake View Terrace,CA
55162,MM Tomoka Farms Energy,29.0969,-81.0689,Daytona Beach,FL
55163,MM Hartford Energy,41.7861,-72.6544,Hartford,CT
55164,Bluegrass Generating Station,38.3902,-85.4133,LaGrange,KY
55165,Calcasieu,30.1608,-93.345,Sulphur,LA
55166,Broad River Energy Center,35.0786,-81.575,Gaffney,SC
55168,Bastrop Energy Center,30.1458,-97.55,Cedar Creek,TX
55170,Granite Ridge,42.9042,-71.4261,Londonderry,NH
55172,Bosque County Peaking,31.8594,-97.3586,Laquna Park,TX
55173,Acadia Energy Center,30.428611,-92.413056,Eunice,LA
55176,Eastman Cogeneration Facility,32.4481,-94.6903,Longview,TX
55177,South Point Energy Center,34.8678,-114.5317,Mohave Valley,AZ
55178,Dogwood Energy Facility,38.7931,-94.3006,Pleasant Hill,MO
55179,Rathdrum Power LLC,47.7858,-116.9203,Rathdrum,ID
55182,Sunrise Power LLC,35.2097,-119.585,Fellows,CA
55183,Nelson Energy Center,41.774444,-89.607222,Rock Falls,IL
55184,Aera San Ardo Cogen Facility,35.953293,-120.859952,San Ardo,CA
55185,Aera South Belridge Cogen Facility,35.4292,-119.6864,McKittrick,CA
55187,Channelview Cogeneration Plant,29.836952,-95.121744,Channelview,TX
55188,Cordova Energy,41.712216,-90.279679,Cordova,IL
55192,Osceola (FL),28.1289,-81.0978,St. Cloud,FL
55193,Ontelaunee Energy Center,40.4219,-75.9356,Reading,PA
55196,FirstEnergy Springdale 1 & 2,40.546667,-79.768333,Springdale,PA
55197,Caledonia,33.6464,-88.2717,Steens,MS
55198,Riverside Generating LLC,38.191661,-82.604586,Catlettsburg,KY
55199,Elwood Energy LLC,41.4388,-88.1236,Elwood,IL
55200,Arapahoe Combustion Turbine Project,39.6692,-105.0018,Denver,CO
55201,Gibson City Energy Center LLC,40.4705,-88.3987,Gibson City,IL
55202,Pinckneyville,38.1114,-89.3467,Pinckneyville,IL
